trip_id,batch_id,date,store,item,brand_notes,qty,unit,total_price,unit_cost
T001,B001,2026-07-12,Publix,Pepper Trio,Publix 14oz,1,pkg,2.99,2.99
T001,B002,2026-07-12,Publix,Sliced Rotisserie Chicken,Publix 16oz,1,pkg,9.09,9.09
T001,B003,2026-07-12,Publix,Boneless Chicken Breast,Perdue,1,pkg,12.23,12.23
T001,B004,2026-07-12,Publix,Milk Fat Free,Fairlife,1,bottle,5.46,5.46
T001,B005,2026-07-12,Publix,Whipped Cream Cheese,Publix,1,tub,3.49,3.49
T001,B006,2026-07-12,Publix,Cottage Cheese Lowfat Pineapple,Publix 16oz,1,tub,2.93,2.93
T001,B007,2026-07-12,Publix,Baby Cut Carrots,Publix,1,bag,3.79,3.79
T001,B008,2026-07-12,Publix,Mandarins,3lb bag ~18ct,18,ct,6.99,0.39
T001,B009,2026-07-12,Publix,American Salad,Publix,1,bag,4.15,4.15
T001,B010,2026-07-12,Publix,Garlic Blend,,1,pkg,5.15,5.15
T001,B011,2026-07-12,Publix,Burrito Tortillas,La Banderita 10 inch 8ct,8,ct,3.39,0.42
T001,B012,2026-07-12,Publix,Plain Bagels,Thomas 6ct,6,ct,5.49,0.92
T001,B013,2026-07-12,Publix,Red Onions,,1.10,lb,3.38,3.07
T001,B014,2026-07-12,Publix,Red Bell Peppers,,0.88,lb,2.63,2.99
T002,B015,2026-07-12,Presidente Supermarket,Robusto 6 Cheese Pasta Sauce,Ragu,1,jar,4.69,4.69
T002,B016,2026-07-12,Presidente Supermarket,Red Delicious Apples,,2.17,lb,4.32,1.99
T002,B017,2026-07-12,Presidente Supermarket,Rigatoni Pasta,La Fe,1,box,2.29,2.29
T002,B018,2026-07-12,Presidente Supermarket,Shredded Mexican Cheese,Tropical,1,bag,2.99,2.99
T002,B019,2026-07-12,Presidente Supermarket,XL White Eggs,Sunup,18,ct,3.99,0.22
T003,B020,2026-07-12,Amazon,Basmati Rice,Mahatma 32oz,1,bag,3.97,3.97
T003,B021,2026-07-12,Amazon,Natural Creamy Peanut Butter,Skippy 26.5oz Pack of 2,2,jar,7.48,3.74
T004,B022,2026-07-13,Publix,Mint Choc Chip Ice Cream,,1,tub,6.19,6.19
T004,B023,2026-07-13,Publix,Cereal,,1,box,2.78,2.78
T004,B024,2026-07-13,Publix,Cookies,24 pack,24,ct,6.00,0.25
T006,B027,2026-07-18,Publix,XL White Eggs,18ct,18,ct,4.15,0.23
T007,B028,2026-07-16,GoPuff,Chicken Thigh Fillets,"Sanderson Farms Boneless Skinless, 1.82 lbs - price prorated for order discount",1.82,lb,6.20,3.41
T007,B029,2026-07-16,GoPuff,Organic Baby Spinach,"5oz - price prorated for order discount",1,bag,3.10,3.10
T007,B030,2026-07-16,GoPuff,Banana,"4ct - price prorated for order discount",4,ct,1.22,0.31
T007,B031,2026-07-16,GoPuff,Milk 2% Reduced Fat,"Fairlife 52 fl oz - price prorated for order discount",1,bottle,4.09,4.09
T007,B032,2026-07-16,GoPuff,Oreo Sandwich Cookies,"13.29oz - price prorated for order discount",1,bag,4.71,4.71
T007,B033,2026-07-16,GoPuff,Yellow Onion,"1ct - price prorated for order discount",1,ct,0.61,0.61
T007,B034,2026-07-16,GoPuff,Mexican Four Cheese Blend,"Essential Everyday 8oz x2 - price prorated for order discount",2,bag,4.46,2.23
T008,B035,2026-07-24,Publix,Plain Bagels,Thomas 6ct,6,ct,5.49,0.92
T008,B036,2026-07-24,Publix,Everything Bagels,"Thomas 6ct - BOGO free, tied to B035 purchase",6,ct,0.00,0.00
T008,B037,2026-07-24,Publix,Cottage Cheese Lowfat,Publix 24oz,1,tub,4.15,4.15
T008,B038,2026-07-24,Publix,Mandarins,3lb bag ~18ct,18,ct,6.99,0.39
T008,B039,2026-07-24,Publix,Chickpeas,Han (canned),1,can,1.29,1.29
T008,B040,2026-07-24,Publix,Chickpeas,Han (canned),1,can,1.29,1.29
T008,B041,2026-07-24,Publix,Black Beans,Iberia with sofrito,1,can,1.31,1.31
T008,B042,2026-07-24,Publix,Black Beans,Iberia with sofrito,1,can,1.31,1.31
T008,B043,2026-07-24,Publix,Red Bell Peppers,"$2.99/lb x 0.89 lb",0.89,lb,2.66,2.99
T008,B044,2026-07-24,Publix,Apples Evercrisp,"saved $1.92",1,bag,5.15,5.15
T009,B045,2026-07-27,Publix,Boneless Chicken Breast,"Springer Mountain Farms - on sale, saved $3.45",1,pkg,4.59,4.59
T009,B046,2026-07-27,Publix,Large Eggs,"Publix, dozen",12,ct,3.79,0.32
T009,B047,2026-07-27,Publix,Sweet Onions,"$1.84/lb x 0.74 lb",0.74,lb,1.36,1.84
T009,B048,2026-07-27,Publix,Cream Cheese,"Publix, saved $0.74",1,tub,1.85,1.85
T009,B049,2026-07-27,Publix,Traditional Pasta Sauce,Prego,1,jar,3.07,3.07
T009,B050,2026-07-27,Publix,Rigatoni Pasta,Publix,1,box,1.28,1.28
T009,B051,2026-07-27,Publix,Bold Chicken Seasoning,Weber,1,pkg,5.49,5.49
T009,B052,2026-07-27,Publix,Roasted Garlic Parmesan Sauce,"Prego - BOGO free with Traditional Sauce purchase",1,jar,0.00,0.00
